Designator,Mid X,Mid Y,Layer,Rotation
C1,11.43,17.23,TOP,270
C2,20.32,13.97,TOP,0
C3,13.21,17.27,TOP,270
C4,14.73,17.52,TOP,270
C5,20.32,15.88,TOP,0
C6,25.4,36.7,TOP,180
D1,16,10.16,TOP,90
D2,25.27,31.5,TOP,90
R1,7.24,32.13,TOP,90
R2,5.97,32.14,TOP,90
R3,20.96,26.04,TOP,180
R4,25.4,35.49,TOP,0
R5,17.65,9.02,TOP,90
R6,27.18,31.37,TOP,270
R7,12.57,28.32,TOP,0
U1,9.19,13.34,TOP,180
U2,20.32,21.16,TOP,90
J1,2.54,18.4,TOP,270
J2,18.71,35.6,TOP,0
J3,18.71,33,TOP,0
J4,18.71,30.48,TOP,0
J5,10.1,6.47,TOP,0
JMA1,34.29,11.43,TOP,270
JMA2,27.94,11.43,TOP,90
JMB1,34.29,25.4,TOP,270
JMB2,27.94,25.4,TOP,90
JMV1,20.32,3.81,TOP,180
JMV2,20.32,11.43,TOP,0
