Designator,Mid X,Mid Y,Layer,Rotation
C1,11.43,22.16,TOP,0
C10,19.69,9.78,TOP,90
C2,20.57,28.83,TOP,90
C3,20.32,17.65,TOP,90
C4,20.83,23.37,TOP,90
C5,19.56,11.68,TOP,180
C6,12.45,31.62,TOP,90
C7,19.94,25.4,TOP,270
C8,20.45,19.94,TOP,270
C9,20.07,13.46,TOP,270
D1,30.48,3.81,TOP,270
D2,6.35,31.95,TOP,180
J4,15.49,36.57,TOP,180
R1,6.35,25.4,TOP,0
R2,6.35,27.94,TOP,0
R3,17.65,26.16,TOP,0
R4,11.81,29.97,TOP,0
R5,30.48,6.35,TOP,270
R6,6.35,34.29,TOP,180
U1,12.7,19.05,TOP,270
U2,25.15,27.56,TOP,90
U3,25.19,22.1,TOP,90
U4,25.15,16.26,TOP,90
U5,25.18,10.54,TOP,90
J1,2.54,19.05,TOP,270
J2,25.4,34.3,TOP,0
J3,25.4,3.8,TOP,180
J5,10.41,4.06,TOP,0
J6,33,14,TOP,90
J7,33,25.4,TOP,90
J8,16.5,8.9,TOP,0
J9,16.5,30.5,TOP,0
R7,7.87,10.29,TOP,90
