Designator,Mid X,Mid Y,Layer,Rotation
C1,5.21,13.34,TOP,0
D1,3.3,18.8,TOP,0
D2,31.24,7.49,TOP,180
D3,24.13,7.62,TOP,180
D4,19.05,10.16,TOP,0
D5,35.94,10.29,TOP,0
D6,14.22,19.43,TOP,90
R1,4.95,16.76,TOP,180
R2,5.97,15.37,TOP,180
R3,4.19,5.71,TOP,270
R4,5.21,18.8,TOP,0
R5,13.46,21.34,TOP,180
R6,11.43,-2.54,TOP,180
R7,15.24,2.54,TOP,180
R8,15.24,7.11,TOP,180
R9,12.19,11.05,TOP,180
U1,5.08,10.16,TOP,225
Q1,12.19,0,TOP,270
Q2,12.19,4.83,TOP,270
Q3,12.19,8.64,TOP,270
Q4,12.19,13.34,TOP,270
U$5,33.02,1.27,TOP,180
U$2,21.59,1.27,TOP,180
U$3,20.32,16.51,TOP,0
U$4,33.02,16.51,TOP,0
